,stateid,timeid,dose1,dose2
1524,MP,45.0,28993,0
1525,MP,46.0,246354,0
1526,MP,47.0,48050,0
1527,MP,48.0,215440,3
1528,MP,49.0,83365,3806
1529,MP,50.0,13079,155853
1530,MP,51.0,173094,72374
1531,MP,52.0,244648,102524
1532,MP,53.0,721547,121546
1533,MP,54.0,762733,40898
1534,MP,55.0,964061,35577
1535,MP,56.0,1355695,65850
1536,MP,57.0,1680423,158824
1537,MP,58.0,395867,195346
1538,MP,59.0,100502,151316
1539,MP,60.0,158351,328523
1540,MP,61.0,271204,258266
1541,MP,62.0,554907,62412
1542,MP,63.0,1070688,31114
1543,MP,64.0,1698452,48389
1544,MP,65.0,1159215,109117
1545,MP,66.0,1008031,112871
1546,MP,67.0,4480345,302148
1547,MP,68.0,1337997,455718
1548,MP,69.0,1345678,976357
1549,MP,70.0,1040003,225132
1550,MP,71.0,2118982,534334
1551,MP,72.0,3543073,620699
1552,MP,73.0,2381061,472778
1553,MP,74.0,2453364,451853
1554,MZ,1.0,0,0
1555,MZ,2.0,0,0
1556,MZ,3.0,0,0
1557,MZ,4.0,0,0
1558,MZ,5.0,0,0
1559,MZ,6.0,0,0
1560,MZ,7.0,0,0
1561,MZ,8.0,0,0
1562,MZ,9.0,0,0
1563,MZ,10.0,0,0
1564,MZ,11.0,0,0
1565,MZ,12.0,0,0
1566,MZ,13.0,0,0
1567,MZ,14.0,0,0
1568,MZ,15.0,0,0
1569,MZ,16.0,0,0
1570,MZ,17.0,0,0
1571,MZ,18.0,0,0
1572,MZ,19.0,0,0
1573,MZ,20.0,0,0
1574,MZ,21.0,0,0
1575,MZ,22.0,0,0
1576,MZ,23.0,0,0
1577,MZ,24.0,0,0
1578,MZ,25.0,0,0
1579,MZ,26.0,0,0
1580,MZ,27.0,0,0
1581,MZ,28.0,0,0
1582,MZ,29.0,0,0
1583,MZ,30.0,0,0
1584,MZ,31.0,0,0
1585,MZ,32.0,0,0
1586,MZ,33.0,0,0
1587,MZ,34.0,0,0
1588,MZ,35.0,0,0
1589,MZ,36.0,0,0
1590,MZ,37.0,0,0
1591,MZ,38.0,0,0
1592,MZ,39.0,0,0
1593,MZ,40.0,0,0
1594,MZ,41.0,0,0
1595,MZ,42.0,0,0
1596,MZ,43.0,0,0
1597,MZ,44.0,105,0
1598,MZ,45.0,1765,0
1599,MZ,46.0,6107,0
1600,MZ,47.0,1493,0
1601,MZ,48.0,709,75
1602,MZ,49.0,4505,2159
1603,MZ,50.0,7238,3398
1604,MZ,51.0,12105,3543
1605,MZ,52.0,11726,939
1606,MZ,53.0,6739,2017
1607,MZ,54.0,3005,1460
1608,MZ,55.0,1012,1015
1609,MZ,56.0,17093,6977
1610,MZ,57.0,48566,10105
1611,MZ,58.0,48597,8657
1612,MZ,59.0,43101,4472
1613,MZ,60.0,17299,2215
1614,MZ,61.0,7638,3935
1615,MZ,62.0,13396,16
1616,MZ,63.0,10097,104
1617,MZ,64.0,10024,128
1618,MZ,65.0,19548,1104
1619,MZ,66.0,84164,335
1620,MZ,67.0,121109,586
1621,MZ,68.0,43352,6433
1622,MZ,69.0,42814,28389
1623,MZ,70.0,25979,39446
1624,MZ,71.0,17275,44035
1625,MZ,72.0,12487,25407
1626,MZ,73.0,14266,8002
1627,MZ,74.0,6795,12739
1628,NL,1.0,0,0
1629,NL,2.0,0,0
1630,NL,3.0,0,0
1631,NL,4.0,0,0
1632,NL,5.0,0,0
1633,NL,6.0,0,0
1634,NL,7.0,0,0
1635,NL,8.0,0,0
1636,NL,9.0,0,0
1637,NL,10.0,0,0
1638,NL,11.0,0,0
1639,NL,12.0,0,0
1640,NL,13.0,0,0
1641,NL,14.0,0,0
1642,NL,15.0,0,0
1643,NL,16.0,0,0
1644,NL,17.0,0,0
1645,NL,18.0,0,0
1646,NL,19.0,0,0
1647,NL,20.0,0,0
1648,NL,21.0,0,0
1649,NL,22.0,0,0
1650,NL,23.0,0,0
1651,NL,24.0,0,0
