districtid,timeid,dose1,dose2
AP_Kurnool,65.0,60533,1417
AP_Kurnool,66.0,28129,416
AP_Kurnool,67.0,119318,11516
AP_Kurnool,68.0,94180,20846
AP_Kurnool,69.0,9569,9939
AP_Kurnool,70.0,94945,57333
AP_Kurnool,71.0,29049,41838
AP_Kurnool,72.0,75143,79479
AP_Kurnool,73.0,72343,51593
AP_Kurnool,74.0,88877,40411
AP_Prakasam,1.0,0,0
AP_Prakasam,2.0,0,0
AP_Prakasam,3.0,0,0
AP_Prakasam,4.0,0,0
AP_Prakasam,5.0,0,0
AP_Prakasam,6.0,0,0
AP_Prakasam,7.0,0,0
AP_Prakasam,8.0,0,0
AP_Prakasam,9.0,0,0
AP_Prakasam,10.0,0,0
AP_Prakasam,11.0,0,0
AP_Prakasam,12.0,0,0
AP_Prakasam,13.0,0,0
AP_Prakasam,14.0,0,0
AP_Prakasam,15.0,0,0
AP_Prakasam,16.0,0,0
AP_Prakasam,17.0,0,0
AP_Prakasam,18.0,0,0
AP_Prakasam,19.0,0,0
AP_Prakasam,20.0,0,0
AP_Prakasam,21.0,0,0
AP_Prakasam,22.0,0,0
AP_Prakasam,23.0,0,0
AP_Prakasam,24.0,0,0
AP_Prakasam,25.0,0,0
AP_Prakasam,26.0,0,0
AP_Prakasam,27.0,0,0
AP_Prakasam,28.0,0,0
AP_Prakasam,29.0,0,0
AP_Prakasam,30.0,0,0
AP_Prakasam,31.0,0,0
AP_Prakasam,32.0,0,0
AP_Prakasam,33.0,0,0
AP_Prakasam,34.0,0,0
AP_Prakasam,35.0,0,0
AP_Prakasam,36.0,0,0
AP_Prakasam,37.0,0,0
AP_Prakasam,38.0,0,0
AP_Prakasam,39.0,0,0
AP_Prakasam,40.0,0,0
AP_Prakasam,41.0,0,0
AP_Prakasam,42.0,0,0
AP_Prakasam,43.0,0,0
AP_Prakasam,44.0,202,0
AP_Prakasam,45.0,6383,0
AP_Prakasam,46.0,2615,0
AP_Prakasam,47.0,4817,0
AP_Prakasam,48.0,7876,137
AP_Prakasam,49.0,3414,3506
AP_Prakasam,50.0,6550,2843
AP_Prakasam,51.0,5824,1596
AP_Prakasam,52.0,10784,2653
AP_Prakasam,53.0,25546,6845
AP_Prakasam,54.0,44152,3720
AP_Prakasam,55.0,52215,4021
AP_Prakasam,56.0,44883,4827
AP_Prakasam,57.0,57871,4532
AP_Prakasam,58.0,37395,32415
AP_Prakasam,59.0,44386,34129
AP_Prakasam,60.0,19314,34225
AP_Prakasam,61.0,1626,7033
AP_Prakasam,62.0,17266,26542
AP_Prakasam,63.0,114760,7894
AP_Prakasam,64.0,61460,14224
AP_Prakasam,65.0,72663,3336
AP_Prakasam,66.0,24697,1243
AP_Prakasam,67.0,157027,17632
AP_Prakasam,68.0,78892,16326
AP_Prakasam,69.0,24046,12173
AP_Prakasam,70.0,96432,32374
AP_Prakasam,71.0,19397,31970
AP_Prakasam,72.0,52507,120999
AP_Prakasam,73.0,64084,42403
AP_Prakasam,74.0,72828,46193
AP_S.P.S. Nellore,1.0,0,0
AP_S.P.S. Nellore,2.0,0,0
AP_S.P.S. Nellore,3.0,0,0
AP_S.P.S. Nellore,4.0,0,0
AP_S.P.S. Nellore,5.0,0,0
AP_S.P.S. Nellore,6.0,0,0
AP_S.P.S. Nellore,7.0,0,0
AP_S.P.S. Nellore,8.0,0,0
AP_S.P.S. Nellore,9.0,0,0
AP_S.P.S. Nellore,10.0,0,0
AP_S.P.S. Nellore,11.0,0,0
AP_S.P.S. Nellore,12.0,0,0
AP_S.P.S. Nellore,13.0,0,0
AP_S.P.S. Nellore,14.0,0,0
AP_S.P.S. Nellore,15.0,0,0
AP_S.P.S. Nellore,16.0,0,0
AP_S.P.S. Nellore,17.0,0,0
AP_S.P.S. Nellore,18.0,0,0
AP_S.P.S. Nellore,19.0,0,0
AP_S.P.S. Nellore,20.0,0,0
AP_S.P.S. Nellore,21.0,0,0
AP_S.P.S. Nellore,22.0,0,0
AP_S.P.S. Nellore,23.0,0,0
AP_S.P.S. Nellore,24.0,0,0
AP_S.P.S. Nellore,25.0,0,0
AP_S.P.S. Nellore,26.0,0,0
AP_S.P.S. Nellore,27.0,0,0
AP_S.P.S. Nellore,28.0,0,0
AP_S.P.S. Nellore,29.0,0,0
AP_S.P.S. Nellore,30.0,0,0
AP_S.P.S. Nellore,31.0,0,0
AP_S.P.S. Nellore,32.0,0,0
AP_S.P.S. Nellore,33.0,0,0
AP_S.P.S. Nellore,34.0,0,0
AP_S.P.S. Nellore,35.0,0,0
AP_S.P.S. Nellore,36.0,0,0
AP_S.P.S. Nellore,37.0,0,0
AP_S.P.S. Nellore,38.0,0,0
AP_S.P.S. Nellore,39.0,0,0
AP_S.P.S. Nellore,40.0,0,0
AP_S.P.S. Nellore,41.0,0,0
AP_S.P.S. Nellore,42.0,0,0
AP_S.P.S. Nellore,43.0,0,0
AP_S.P.S. Nellore,44.0,277,0
AP_S.P.S. Nellore,45.0,5659,0
AP_S.P.S. Nellore,46.0,6518,0
AP_S.P.S. Nellore,47.0,14431,0
AP_S.P.S. Nellore,48.0,5320,656
AP_S.P.S. Nellore,49.0,8164,8992
AP_S.P.S. Nellore,50.0,8471,4880
AP_S.P.S. Nellore,51.0,11531,4787
AP_S.P.S. Nellore,52.0,13202,4419
AP_S.P.S. Nellore,53.0,35573,9774
AP_S.P.S. Nellore,54.0,44788,7970
AP_S.P.S. Nellore,55.0,33394,4696
AP_S.P.S. Nellore,56.0,42868,6163
AP_S.P.S. Nellore,57.0,54787,6013
AP_S.P.S. Nellore,58.0,30394,43730
AP_S.P.S. Nellore,59.0,47084,26938
AP_S.P.S. Nellore,60.0,24135,31388
AP_S.P.S. Nellore,61.0,6041,18563
AP_S.P.S. Nellore,62.0,6682,5596
AP_S.P.S. Nellore,63.0,114953,5796
AP_S.P.S. Nellore,64.0,55848,5349
AP_S.P.S. Nellore,65.0,59906,5062
AP_S.P.S. Nellore,66.0,29155,2188
AP_S.P.S. Nellore,67.0,122740,24697
AP_S.P.S. Nellore,68.0,55345,54629
AP_S.P.S. Nellore,69.0,30696,37913
AP_S.P.S. Nellore,70.0,61176,49403
AP_S.P.S. Nellore,71.0,13419,37921
AP_S.P.S. Nellore,72.0,97356,77812
AP_S.P.S. Nellore,73.0,71386,23916
AP_S.P.S. Nellore,74.0,46777,19438
AP_Srikakulam,1.0,0,0
AP_Srikakulam,2.0,0,0
AP_Srikakulam,3.0,0,0
AP_Srikakulam,4.0,0,0
AP_Srikakulam,5.0,0,0
AP_Srikakulam,6.0,0,0
AP_Srikakulam,7.0,0,0
AP_Srikakulam,8.0,0,0
AP_Srikakulam,9.0,0,0
AP_Srikakulam,10.0,0,0
AP_Srikakulam,11.0,0,0
AP_Srikakulam,12.0,0,0
AP_Srikakulam,13.0,0,0
AP_Srikakulam,14.0,0,0
AP_Srikakulam,15.0,0,0
AP_Srikakulam,16.0,0,0
AP_Srikakulam,17.0,0,0
AP_Srikakulam,18.0,0,0
AP_Srikakulam,19.0,0,0
AP_Srikakulam,20.0,0,0
AP_Srikakulam,21.0,0,0
AP_Srikakulam,22.0,0,0
AP_Srikakulam,23.0,0,0
AP_Srikakulam,24.0,0,0
AP_Srikakulam,25.0,0,0
AP_Srikakulam,26.0,0,0
AP_Srikakulam,27.0,0,0
AP_Srikakulam,28.0,0,0
AP_Srikakulam,29.0,0,0
AP_Srikakulam,30.0,0,0
AP_Srikakulam,31.0,0,0
AP_Srikakulam,32.0,0,0
AP_Srikakulam,33.0,0,0
AP_Srikakulam,34.0,0,0
AP_Srikakulam,35.0,0,0
AP_Srikakulam,36.0,0,0
AP_Srikakulam,37.0,0,0
AP_Srikakulam,38.0,0,0
AP_Srikakulam,39.0,0,0
AP_Srikakulam,40.0,0,0
AP_Srikakulam,41.0,0,0
AP_Srikakulam,42.0,0,0
AP_Srikakulam,43.0,0,0
AP_Srikakulam,44.0,165,0
AP_Srikakulam,45.0,3703,0
AP_Srikakulam,46.0,4355,0
AP_Srikakulam,47.0,14156,0
AP_Srikakulam,48.0,3603,713
AP_Srikakulam,49.0,6284,7414
AP_Srikakulam,50.0,4330,2380
AP_Srikakulam,51.0,8282,5183
AP_Srikakulam,52.0,12839,4627
AP_Srikakulam,53.0,21728,2641
AP_Srikakulam,54.0,24670,2067
AP_Srikakulam,55.0,39516,3238
AP_Srikakulam,56.0,50040,6822
AP_Srikakulam,57.0,44219,3288
AP_Srikakulam,58.0,29347,21652
AP_Srikakulam,59.0,38616,19202
AP_Srikakulam,60.0,9149,24813
AP_Srikakulam,61.0,2425,10777
AP_Srikakulam,62.0,2515,9004
AP_Srikakulam,63.0,117288,1581
AP_Srikakulam,64.0,61290,1293
AP_Srikakulam,65.0,47487,3231
AP_Srikakulam,66.0,55863,2318
AP_Srikakulam,67.0,134029,21196
AP_Srikakulam,68.0,62803,23839
AP_Srikakulam,69.0,11928,19136
AP_Srikakulam,70.0,47357,36410
AP_Srikakulam,71.0,14540,25097
AP_Srikakulam,72.0,58995,43982
AP_Srikakulam,73.0,77802,23430
AP_Srikakulam,74.0,19245,11638
AP_Visakhapatnam,1.0,0,0
AP_Visakhapatnam,2.0,0,0
AP_Visakhapatnam,3.0,0,0
AP_Visakhapatnam,4.0,0,0
AP_Visakhapatnam,5.0,0,0
AP_Visakhapatnam,6.0,0,0
AP_Visakhapatnam,7.0,0,0
AP_Visakhapatnam,8.0,0,0
AP_Visakhapatnam,9.0,0,0
AP_Visakhapatnam,10.0,0,0
AP_Visakhapatnam,11.0,0,0
AP_Visakhapatnam,12.0,0,0
AP_Visakhapatnam,13.0,0,0
AP_Visakhapatnam,14.0,0,0
AP_Visakhapatnam,15.0,0,0
AP_Visakhapatnam,16.0,0,0
AP_Visakhapatnam,17.0,0,0
AP_Visakhapatnam,18.0,0,0
AP_Visakhapatnam,19.0,0,0
AP_Visakhapatnam,20.0,0,0
AP_Visakhapatnam,21.0,0,0
AP_Visakhapatnam,22.0,0,0
AP_Visakhapatnam,23.0,0,0
AP_Visakhapatnam,24.0,0,0
AP_Visakhapatnam,25.0,0,0
AP_Visakhapatnam,26.0,0,0
AP_Visakhapatnam,27.0,0,0
