,stateid,timeid,dose1,dose2
487,SK,2.0,0,0
488,SK,3.0,0,0
489,SK,4.0,0,0
490,SK,5.0,0,0
491,SK,6.0,0,0
492,SK,7.0,0,0
493,SK,8.0,0,0
494,SK,9.0,0,0
495,SK,10.0,0,0
496,SK,11.0,5090,0
497,SK,12.0,25026,5955
498,SK,13.0,59965,8437
499,SK,14.0,74691,39977
500,SK,15.0,15538,5357
501,SK,16.0,252677,44754
502,SK,17.0,63934,46139
503,SK,18.0,3908,7423
504,TG,1.0,0,0
505,TG,2.0,0,0
506,TG,3.0,0,0
507,TG,4.0,0,0
508,TG,5.0,0,0
509,TG,6.0,0,0
510,TG,7.0,0,0
511,TG,8.0,0,0
512,TG,9.0,0,0
513,TG,10.0,0,0
514,TG,11.0,136225,0
515,TG,12.0,273067,183254
516,TG,13.0,1095278,95293
517,TG,14.0,2884068,535775
518,TG,15.0,1165646,496860
519,TG,16.0,4628565,498664
520,TG,17.0,1365434,2018865
521,TG,18.0,525406,323403
522,TN,1.0,0,0
523,TN,2.0,0,0
524,TN,3.0,0,0
525,TN,4.0,0,0
526,TN,5.0,0,0
527,TN,6.0,0,0
528,TN,7.0,0,0
529,TN,8.0,0,0
530,TN,9.0,0,0
531,TN,10.0,0,0
532,TN,11.0,120545,0
533,TN,12.0,567147,77908
534,TN,13.0,2162205,240846
535,TN,14.0,1679580,1219833
536,TN,15.0,2877145,421360
537,TN,16.0,5797763,651554
538,TN,17.0,5582412,1622754
539,TN,18.0,1388713,314288
540,TR,1.0,0,0
541,TR,2.0,0,0
542,TR,3.0,0,0
543,TR,4.0,0,0
544,TR,5.0,0,0
545,TR,6.0,0,0
546,TR,7.0,0,0
547,TR,8.0,0,0
548,TR,9.0,0,0
549,TR,10.0,0,0
550,TR,11.0,32289,0
551,TR,12.0,87198,36944
552,TR,13.0,578522,50465
553,TR,14.0,254938,378266
554,TR,15.0,179450,42566
555,TR,16.0,889791,118142
556,TR,17.0,379906,171658
557,TR,18.0,31603,28745
558,UP,1.0,0,0
559,UP,2.0,0,0
560,UP,3.0,0,0
561,UP,4.0,0,0
562,UP,5.0,0,0
563,UP,6.0,0,0
564,UP,7.0,0,0
565,UP,8.0,0,0
566,UP,9.0,0,0
567,UP,10.0,0,0
568,UP,11.0,599627,0
569,UP,12.0,1009937,504936
570,UP,13.0,4942022,615896
571,UP,14.0,3745032,1507218
572,UP,15.0,5895034,822843
573,UP,16.0,12096194,1635231
574,UP,17.0,14165533,2803813
575,UP,18.0,3061547,819760
576,UT,1.0,0,0
577,UT,2.0,0,0
578,UT,3.0,0,0
579,UT,4.0,0,0
580,UT,5.0,0,0
581,UT,6.0,0,0
582,UT,7.0,0,0
583,UT,8.0,0,0
584,UT,9.0,0,0
585,UT,10.0,0,0
586,UT,11.0,71384,0
587,UT,12.0,146269,67327
588,UT,13.0,797701,100367
589,UT,14.0,753387,413294
590,UT,15.0,627547,107579
591,UT,16.0,1447596,269057
592,UT,17.0,1038282,584488
593,UT,18.0,613691,180342
594,WB,1.0,0,0
595,WB,2.0,0,0
596,WB,3.0,0,0
597,WB,4.0,0,0
598,WB,5.0,0,0
599,WB,6.0,0,0
600,WB,7.0,0,0
601,WB,8.0,0,0
602,WB,9.0,0,0
603,WB,10.0,0,0
604,WB,11.0,317166,0
605,WB,12.0,1199721,277722
606,WB,13.0,4761518,549510
607,WB,14.0,2326288,2229109
608,WB,15.0,3582590,817692
609,WB,16.0,4887689,1897297
610,WB,17.0,5211323,3056877
611,WB,18.0,2034529,350696
